date,close
2017/07/14,2653.51
2017/07/17,2564.25
2017/07/18,2608.21
2017/07/19,2686.31
2017/07/20,2688.62
2017/07/21,2692.3
2017/07/24,2693.78
2017/07/25,2692.2
2017/07/26,2707.48
2017/07/27,2693.04
2017/07/28,2712.42
2017/07/31,2774.69
2017/08/01,2771.5
2017/08/02,2754.03
2017/08/03,2767.26
2017/08/04,2754.81
2017/08/07,2787.98
2017/08/08,2773.96
2017/08/09,2784.37
2017/08/10,2722.24
2017/08/11,2641.16
2017/08/14,2704.94
2017/08/15,2721.89
2017/08/16,2706.28
2017/08/17,2731.61
2017/08/18,2718.64
2017/08/21,2748.32
2017/08/22,2763.2
2017/08/23,2731.01
2017/08/24,2719.85
2017/08/25,2760.08
2017/08/28,2806.95
2017/08/29,2798.27
2017/08/30,2820.62
2017/08/31,2832.21
2017/09/01,2871.48
2017/09/04,2898.86
2017/09/05,2894.44
2017/09/06,2928.85
2017/09/07,2899.26
2017/09/08,2918.48
2017/09/11,2967.93
2017/09/12,2951.33
2017/09/13,2966.94
2017/09/14,2949.51
2017/09/15,2899.28
2017/09/18,2936.34
2017/09/19,2923.18
2017/09/20,2945.43
2017/09/21,2890.57
2017/09/22,2863.54
2017/09/25,2817.73
2017/09/26,2850.17
2017/09/27,2895.37
2017/09/28,2901.73
2017/09/29,2925.22
2017/10/09,2976.13
2017/10/10,2975.99
2017/10/11,2922.59
2017/10/12,2919.47
2017/10/13,2957.93
2017/10/16,2944.4
2017/10/17,2929.92
2017/10/18,2898.74
2017/10/19,2847.19
2017/10/20,2889.62
2017/10/23,2918.09
2017/10/24,2909.68
2017/10/25,2962.63
2017/10/26,2999.48
2017/10/27,2987.99
2017/10/30,2962.14
2017/10/31,2997.73
2017/11/01,2997.47
2017/11/02,2919.1
2017/11/03,2909.59
2017/11/06,2960.95
2017/11/07,2966
2017/11/08,2970.29
2017/11/09,2993.16
2017/11/10,3013.15
2017/11/13,3038.27
2017/11/14,2994.89
2017/11/15,2965.8
2017/11/16,2952.01
2017/11/17,2872.77
2017/11/20,2909
2017/11/21,2923.52
2017/11/22,2919.6
2017/11/23,2847.97
2017/11/24,2825.39
2017/11/27,2762.18
2017/11/28,2815.5
2017/11/29,2834.23
2017/11/30,2810.21
2017/12/01,2830.67
2017/12/04,2831.37
2017/12/05,2758.99
2017/12/06,2768.86
2017/12/07,2749.5
2017/12/08,2783.41
2017/12/11,2824.5
2017/12/12,2806.17
2017/12/13,2812.59
2017/12/14,2794.9
2017/12/15,2757.01
2017/12/18,2745.07
2017/12/19,2758.81
2017/12/20,2723.91
2017/12/21,2754.66
2017/12/22,2757.59
2017/12/25,2742.26
2017/12/26,2758.99
2017/12/27,2748.25
2017/12/28,2763.91
2017/12/29,2779.71
2018/01/02,2817.08
2018/01/03,2857.3
2018/01/04,2872.29
2018/01/05,2864.44
2018/01/08,2885.27
2018/01/09,2874.82
2018/01/10,2844.41
2018/01/11,2848.7
2018/01/12,2817.06
2018/01/15,2744.74
2018/01/16,2742.77
2018/01/17,2739.09
2018/01/18,2762.28
2018/01/19,2756.4
2018/01/22,2778.48
2018/01/23,2792.42
2018/01/24,2800.81
2018/01/25,2812.18
2018/01/26,2799.57
2018/01/29,2782.5
2018/01/30,2761.36
2018/01/31,2727.34
2018/02/01,2624.56
2018/02/02,2651.17
2018/02/05,2641.3
2018/02/06,2525.1
2018/02/07,2526.63
2018/02/08,2549.41
2018/02/09,2436.62
2018/02/12,2516.16
2018/02/13,2535.96
2018/02/14,2555.98
2018/02/22,2644.11
2018/02/23,2660.25
2018/02/26,2725.12
2018/02/27,2705.35
2018/02/28,2734.66
2018/03/01,2746.85
2018/03/02,2739.17
2018/03/05,2733.38
2018/03/06,2762.76
2018/03/07,2724.34
2018/03/08,2743.33
2018/03/09,2764.47
2018/03/12,2822.94
2018/03/13,2808.4
2018/03/14,2790.32
2018/03/15,2782.76
2018/03/16,2757.91
2018/03/19,2744.48
2018/03/20,2725.62
2018/03/21,2694.53
2018/03/22,2693.76
2018/03/23,2538.01
2018/03/26,2604.14
2018/03/27,2667.79
2018/03/28,2619.05
2018/03/29,2646.92
2018/03/30,2681.51
2018/04/02,2669.89
2018/04/03,2639.78
2018/04/04,2618.76
2018/04/09,2623.64
2018/04/10,2665.82
2018/04/11,2677.85
2018/04/12,2647.13
2018/04/13,2638.31
2018/04/16,2611.43
2018/04/17,2543.01
2018/04/18,2577.44
2018/04/19,2611.32
2018/04/20,2554.19
2018/04/23,2553.03
2018/04/24,2611.1
2018/04/25,2615.19
2018/04/26,2559.47
2018/04/27,2580.69
2018/05/02,2588.08
2018/05/03,2598.45
2018/05/04,2585.49
2018/05/07,2640.43
2018/05/08,2651.58
2018/05/09,2646.1
2018/05/10,2646.39
2018/05/11,2615.92
2018/05/14,2628.23
2018/05/15,2676.65
2018/05/16,2657.07
2018/05/17,2639.42
2018/05/18,2648.95
2018/05/21,2675.56
2018/05/22,2684.84
2018/05/23,2649.14
2018/05/24,2633.89
2018/05/25,2600.76
2018/05/28,2592.58
2018/05/29,2567.76
2018/05/30,2502.37
2018/05/31,2538.49
2018/06/01,2501.89
2018/06/04,2503.7
2018/06/05,2549.72
2018/06/06,2553.08
2018/06/07,2553.75
2018/06/08,2526.49
2018/06/11,2511.88
2018/06/12,2560.36
2018/06/13,2526.35
2018/06/14,2521.74
2018/06/15,2484.9
2018/06/19,2349.47
2018/06/20,2379.99
2018/06/21,2341.08
2018/06/22,2384.59
2018/06/25,2371.65
2018/06/26,2386.1
2018/06/27,2354.41
2018/06/28,2327.89
2018/06/29,2411.45
2018/07/02,2382.69
2018/07/03,2401.75
2018/07/04,2344.96
2018/07/05,2282.69
2018/07/06,2287.57
2018/07/09,2350.52
2018/07/10,2376.94
2018/07/11,2348.25
2018/07/12,2412.93
2018/07/13,2442.06
2018/07/16,2442.79
2018/07/17,2446.1
2018/07/18,2421.1
2018/07/19,2410.35
2018/07/20,2421.8
2018/07/23,2440.54
2018/07/24,2476.84
2018/07/25,2485.53
2018/07/26,2451.65
2018/07/27,2445.75
2018/07/30,2427.2
2018/07/31,2418.73
2018/08/01,2375.04
2018/08/02,2337.09
2018/08/03,2289.23
2018/08/06,2241.68
2018/08/07,2313.3
2018/08/08,2264.14
2018/08/09,2324.81
2018/08/10,2334.96
2018/08/13,2353.69
2018/08/14,2340.89
2018/08/15,2285.12
2018/08/16,2271.51
2018/08/17,2222.76
2018/08/20,2246.55
2018/08/21,2281.49
2018/08/22,2252.07
2018/08/23,2284.56
2018/08/24,2277.56
2018/08/27,2340.92
2018/08/28,2344.89
2018/08/29,2330.44
2018/08/30,2284.21
2018/08/31,2260.73
2018/09/03,2264.25
2018/09/04,2281.12
2018/09/05,2241.66
2018/09/06,2241.38
2018/09/07,2244.54
2018/09/10,2207.94
2018/09/11,2216.93
2018/09/12,2196.24
2018/09/13,2206.13
2018/09/14,2188.1
2018/09/17,2160.04
2018/09/18,2200.41
2018/09/19,2228.69
2018/09/20,2223.55
2018/09/21,2257.01
2018/09/25,2254.11
2018/09/26,2265.69
2018/09/27,2253.87
2018/09/28,2271.01
2018/10/08,2187.2
2018/10/09,2187.2
2018/10/10,2176.15
2018/10/11,2036.63
2018/10/12,2037.19
2018/10/15,2006.46
2018/10/16,1964.42
2018/10/17,1984.96
2018/10/18,1920.2
2018/10/19,1972.63
2018/10/22,2070.25
2018/10/23,2009.98
